id,ChatGPT-4o_vs_Claude_Chi,ChatGPT-4o_vs_Claude_Z,ChatGPT-4o_vs_Claude_Fisher,ChatGPT-4o_vs_DeepSeek_Chi,ChatGPT-4o_vs_DeepSeek_Z,ChatGPT-4o_vs_DeepSeek_Fisher,ChatGPT-4o_vs_Gemini_Chi,ChatGPT-4o_vs_Gemini_Z,ChatGPT-4o_vs_Gemini_Fisher,ChatGPT-4o_vs_Grok_Chi,ChatGPT-4o_vs_Grok_Z,ChatGPT-4o_vs_Grok_Fisher,ChatGPT-4o_vs_Llama_Chi,ChatGPT-4o_vs_Llama_Z,ChatGPT-4o_vs_Llama_Fisher,ChatGPT-4o_vs_Qwen_Chi,ChatGPT-4o_vs_Qwen_Z,ChatGPT-4o_vs_Qwen_Fisher,Claude_vs_DeepSeek_Chi,Claude_vs_DeepSeek_Z,Claude_vs_DeepSeek_Fisher,Claude_vs_Gemini_Chi,Claude_vs_Gemini_Z,Claude_vs_Gemini_Fisher,Claude_vs_Grok_Chi,Claude_vs_Grok_Z,Claude_vs_Grok_Fisher,Claude_vs_Llama_Chi,Claude_vs_Llama_Z,Claude_vs_Llama_Fisher,Claude_vs_Qwen_Chi,Claude_vs_Qwen_Z,Claude_vs_Qwen_Fisher,DeepSeek_vs_Gemini_Chi,DeepSeek_vs_Gemini_Z,DeepSeek_vs_Gemini_Fisher,DeepSeek_vs_Grok_Chi,DeepSeek_vs_Grok_Z,DeepSeek_vs_Grok_Fisher,DeepSeek_vs_Llama_Chi,DeepSeek_vs_Llama_Z,DeepSeek_vs_Llama_Fisher,DeepSeek_vs_Qwen_Chi,DeepSeek_vs_Qwen_Z,DeepSeek_vs_Qwen_Fisher,Gemini_vs_Grok_Chi,Gemini_vs_Grok_Z,Gemini_vs_Grok_Fisher,Gemini_vs_Llama_Chi,Gemini_vs_Llama_Z,Gemini_vs_Llama_Fisher,Gemini_vs_Qwen_Chi,Gemini_vs_Qwen_Z,Gemini_vs_Qwen_Fisher,Grok_vs_Llama_Chi,Grok_vs_Llama_Z,Grok_vs_Llama_Fisher,Grok_vs_Qwen_Chi,Grok_vs_Qwen_Z,Grok_vs_Qwen_Fisher,Llama_vs_Qwen_Chi,Llama_vs_Qwen_Z,Llama_vs_Qwen_Fisher
E_Other_63,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4786,0.1565,0.4990,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0001 (***),1.0000,0.5625,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0000 (***)
E_Other_64,0.0071 (***),0.0025 (***),0.0036 (***),0.0071 (***),0.0025 (***),0.0036 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0071 (***),0.0025 (***),0.0036 (***),0.3931,0.2858,0.3937,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0004 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0004 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.2464,0.2023,0.2463,0.0004 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***)
E_Other_65,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9275,0.8556,0.9275,1.0000,1.0000,1.0000,0.0126 (**),0.0044 (***),0.0074 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0126 (**),0.0044 (***),0.0074 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0126 (**),0.0044 (***),0.0074 (***),0.0010 (***),0.0005 (***),0.0008 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_RaceGen_21,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_RaceGen_22,0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.9057,0.8126,0.9057,0.0031 (***),0.0013 (***),0.0020 (***),0.4786,0.1565,0.4990,0.4786,0.1565,0.4990,0.1102,0.0553 (*),0.1059,0.0000 (***),0.0000 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0000 (***),0.0002 (***),0.0001 (***),0.0000 (***),0.2002,0.1351,0.1993,0.0003 (***),0.0001 (***),0.0002 (***),1.0000,1.0000,1.0000,0.0126 (**),0.0044 (***),0.0074 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0126 (**),0.0044 (***),0.0074 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_RaceGen_23,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0023 (***),0.0008 (***),0.0009 (***),0.2468,0.0823 (*),0.2485,0.0000 (***),0.0000 (***),0.0000 (***),0.4868,0.4172,0.4869,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0023 (***),0.0008 (***),0.0009 (***),0.2468,0.0823 (*),0.2485,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0578 (*),0.0301 (**),0.0540 (*)
E_RaceGen_24,0.0000 (***),0.0000 (***),0.0000 (***),0.0071 (***),0.0025 (***),0.0036 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0071 (***),0.0025 (***),0.0036 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0071 (***),0.0025 (***),0.0036 (***),0.0071 (***),0.0025 (***),0.0036 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000
E_RaceGen_25,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000
E_RaceGen_26,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_RaceGen_27,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0400 (**),0.0137 (**),0.0303 (**)
E_RaceGen_28,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3725,0.2650,0.3730,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.6694,0.5219,0.6703,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.3652,0.3192,0.3652,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_RaceGen_29,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_RaceGen_30,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.4786,0.1565,0.4990,0.0000 (***),0.0000 (***),0.0000 (***),0.1924,0.1550,0.1922,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.4786,0.1565,0.4990,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4786,0.1565,0.4990
E_Theft_46,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0480 (**),0.0387 (**),0.0479 (**),0.0002 (***),0.0001 (***),0.0002 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0152 (**),0.0118 (**),0.0151 (**),0.5241,0.4666,0.5242,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0884 (*),0.0729 (*),0.0883 (*)
E_Theft_47,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0003 (***),0.0002 (***),0.0003 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0011 (***),0.0008 (***),0.0011 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
E_Theft_48,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Theft_49,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
E_Theft_50,0.0000 (***),0.0000 (***),0.0000 (***),0.0060 (***),0.0045 (***),0.0060 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1782,0.1471,0.1781,0.0134 (**),0.0102 (**),0.0133 (**),0.0000 (***),0.0000 (***),0.0000 (***),0.0031 (***),0.0022 (***),0.0030 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8545,0.7833,0.8545,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0001 (***),0.0001 (***),0.0001 (***)
E_Theft_51,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4786,0.1565,0.4990,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.4786,0.1565,0.4990,0.4786,0.1565,0.4990,1.0000,0.5625,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.4786,0.1565,0.4990,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.5625,1.0000,0.0000 (***),0.0000 (***),0.0000 (***)
E_Theft_52,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2468,0.0823 (*),0.2485,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.2468,0.0823 (*),0.2485,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2468,0.0823 (*),0.2485,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2468,0.0823 (*),0.2485,0.2468,0.0823 (*),0.2485,1.0000,1.0000,1.0000
E_Theft_53,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
J_01,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,0.4786,0.1565,0.4990,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0021 (***),0.0014 (***),0.0019 (***),0.9103,0.8217,0.9104,1.0000,0.3168,1.0000,1.0000,0.5625,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4786,0.1565,0.4990,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0010 (***),0.0006 (***),0.0009 (***)
J_02,1.0000,1.0000,1.0000,0.2468,0.0823 (*),0.2485,1.0000,1.0000,1.0000,0.0023 (***),0.0008 (***),0.0009 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,0.3168,1.0000,0.2468,0.0823 (*),0.2485,1.0000,1.0000,1.0000,0.0023 (***),0.0008 (***),0.0009 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,0.3168,1.0000,0.2468,0.0823 (*),0.2485,0.0578 (*),0.0301 (**),0.0540 (*),0.5011,0.3129,0.5038,0.6157,0.3154,0.6235,0.0023 (***),0.0008 (***),0.0009 (***),0.0400 (**),0.0137 (**),0.0303 (**),1.0000,0.3168,1.0000,0.3236,0.2173,0.3239,0.0085 (***),0.0035 (***),0.0058 (***),0.1279,0.0570 (*),0.1224
J_03,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,0.0085 (***),0.0035 (***),0.0058 (***),0.0085 (***),0.0035 (***),0.0058 (***),0.2179,0.1004,0.2159,0.2088,0.1625,0.2085,0.0000 (***),0.0000 (***),0.0000 (***),0.0006 (***),0.0003 (***),0.0005 (***),0.0006 (***),0.0003 (***),0.0005 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0354 (**),0.0227 (**),0.0341 (**),0.0354 (**),0.0227 (**),0.0341 (**),0.0006 (***),0.0003 (***),0.0004 (***),0.0023 (***),0.0008 (***),0.0009 (***),0.0023 (***),0.0008 (***),0.0009 (***),0.0722 (*),0.0246 (**),0.0613 (*),1.0000,1.0000,1.0000,0.2039,0.1274,0.2027,0.2039,0.1274,0.2027
J_04,0.0722 (*),0.0246 (**),0.0613 (*),0.1321,0.0446 (**),0.1235,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7366,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0722 (*),0.0246 (**),0.0613 (*),0.0722 (*),0.0246 (**),0.0613 (*),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1321,0.0446 (**),0.1235,0.1321,0.0446 (**),0.1235,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000
J_05,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.4372,0.3746,0.4373,0.6400,0.5588,0.6402,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1747,0.1415,0.1745,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
J_06,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
J_07,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.1017,0.0841 (*),0.1016,0.1735,0.1466,0.1735,0.7410,0.6594,0.7411,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.8537,0.7820,0.8537
J_08,0.2468,0.0823 (*),0.2485,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,0.0071 (***),0.0025 (***),0.0036 (***),0.2468,0.0823 (*),0.2485,0.6157,0.3154,0.6235,0.2468,0.0823 (*),0.2485,0.6157,0.3154,0.6235,0.1440,0.0796 (*),0.1411,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,0.0253 (**),0.0106 (**),0.0203 (**),0.6157,0.3154,0.6235,1.0000,0.3168,1.0000,0.0071 (***),0.0025 (***),0.0036 (***),0.2468,0.0823 (*),0.2485,0.0253 (**),0.0106 (**),0.0203 (**),0.6157,0.3154,0.6235,0.1440,0.0796 (*),0.1411
J_09,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,1.0000,1.0000,1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,1.0000,1.0000,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),1.0000,0.3168,1.0000,0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***),0.0000 (***)
